,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
10,0.0003333091735839844,0.0003333091735839844,0.98,0.989998019409784,1,4,linear,"{'C': 1, 'gamma': 4, 'kernel': 'linear'}",10,1.0,0.9797979797979798,0.9607843137254902,1.0,0.9791666666666666,0.9901960784313726,0.00047137035374583886,0.00047137035374583886,0.016179144164088305,0.008248629202994184
11,0.0010000864664713542,0.0010000864664713542,0.9733333333333334,0.989998019409784,1,4,rbf,"{'C': 1, 'gamma': 4, 'kernel': 'rbf'}",24,1.0,0.9797979797979798,0.9411764705882353,1.0,0.9791666666666666,0.9901960784313726,2.247831920581015e-07,1.1239159602905075e-07,0.02458146387042627,0.008248629202994184
12,0.0006666183471679688,0.0003333886464436849,0.9866666666666667,0.9866310160427808,2,0.125,linear,"{'C': 2, 'gamma': 0.125, 'kernel': 'linear'}",1,1.0,0.9696969696969697,0.9607843137254902,1.0,1.0,0.9901960784313726,0.00047137035374583886,0.00047148274534186793,0.018576814560512946,0.012625388806224458
13,0.0006666183471679688,0.0003333091735839844,0.9733333333333334,0.9833630421865717,2,0.125,rbf,"{'C': 2, 'gamma': 0.125, 'kernel': 'rbf'}",24,0.9803921568627451,0.9696969696969697,0.9607843137254902,1.0,0.9791666666666666,0.9803921568627451,0.00047137035374583886,0.00047137035374583886,0.009020673423841885,0.012548254356472291
14,0.0006667772928873698,0.0003333886464436849,0.9866666666666667,0.9866310160427808,2,0.25,linear,"{'C': 2, 'gamma': 0.25, 'kernel': 'linear'}",1,1.0,0.9696969696969697,0.9607843137254902,1.0,1.0,0.9901960784313726,0.00047148274534186793,0.00047148274534186793,0.018576814560512946,0.012625388806224458
15,0.0006666978200276693,0.0006667772928873698,0.9866666666666667,0.9767280649633591,2,0.25,rbf,"{'C': 2, 'gamma': 0.25, 'kernel': 'rbf'}",1,1.0,0.9595959595959596,0.9803921568627451,1.0,0.9791666666666666,0.9705882352941176,0.00047142655959197545,0.00047148274534186793,0.00958280049669602,0.0170566653934917
16,0.0006666978200276693,0.0,0.9866666666666667,0.9866310160427808,2,0.5,linear,"{'C': 2, 'gamma': 0.5, 'kernel': 'linear'}",1,1.0,0.9696969696969697,0.9607843137254902,1.0,1.0,0.9901960784313726,0.00047142655959197545,0.0,0.018576814560512946,0.012625388806224458
17,0.0006666978200276693,0.0003333091735839844,0.9866666666666667,0.9866310160427808,2,0.5,rbf,"{'C': 2, 'gamma': 0.5, 'kernel': 'rbf'}",1,0.9803921568627451,0.9696969696969697,0.9803921568627451,1.0,1.0,0.9901960784313726,0.00047142655959197545,0.00047137035374583886,0.009146591207600491,0.012625388806224458
18,0.0006667772928873698,0.00033346811930338543,0.9866666666666667,0.9866310160427808,2,1,linear,"{'C': 2, 'gamma': 1, 'kernel': 'linear'}",1,1.0,0.9696969696969697,0.9607843137254902,1.0,1.0,0.9901960784313726,0.00047148274534186793,0.00047159513693789695,0.018576814560512946,0.012625388806224458
19,0.0009999275207519531,0.0006666978200276693,0.98,0.9832640126757773,2,1,rbf,"{'C': 2, 'gamma': 1, 'kernel': 'rbf'}",10,0.9803921568627451,0.9595959595959596,0.9607843137254902,1.0,1.0,0.9901960784313726,0.0,0.00047142655959197545,0.015924659219017204,0.017207784516951524
